date,count
"00:01",7
"00:06",7
"00:11",7
"00:16",7
"00:21",7
"00:26",7
"00:31",7
"00:36",7
"00:41",7
"00:46",7
"00:51",5
"00:56",4
"01:01",4
"01:06",4
"01:11",4
"01:16",4
"01:21",3
"01:26",4
"01:31",4
"01:36",5
"01:41",5
"01:46",5
"01:51",5
"01:56",5
"02:01",5
"02:06",5
"02:11",6
"02:16",6
"02:21",4
"02:26",4
"02:31",5
"02:36",5
"02:41",6
"02:47",6
"02:52",8
"02:57",8
"03:02",8
"03:07",9
"03:12",11
"03:17",12
"03:22",15
"03:27",17
"03:32",20
"03:37",21
"03:42",21
"03:47",22
"03:52",21
"03:57",25
"04:02",28
"04:07",30
"04:12",34
"04:17",36
"04:22",35
"04:27",35
"04:32",34
"04:37",39
"04:42",43
"04:47",44
"04:52",45
"04:57",49
"05:02",47
"05:07",55
"05:12",58
"05:17",58
"05:22",60
"05:27",60
"05:32",64
"05:37",59
"05:42",58
"05:47",59
"05:52",56
"05:57",58
"06:02",61
"06:07",59
"06:12",59
"06:17",55
"06:22",55
"06:27",55
"06:32",55
"06:37",59
"06:42",57
"06:48",55
"06:53",59
"06:58",61
"07:03",59
"07:08",57
"07:13",56
"07:18",56
"07:23",55
"07:28",56
"07:33",58
"07:38",57
"07:43",57
"07:48",55
"07:53",54
"07:58",61
"08:03",61
"08:08",57
"08:13",63
"08:18",67
"08:23",64
"08:28",61
"08:33",58
"08:38",59
"08:43",59
"08:48",61
"08:53",64
"08:58",59
"09:03",58
"09:08",59
"09:13",56
"09:18",55
"09:23",50
"09:28",54
"09:33",52
"09:38",54
"09:43",56
"09:48",56
"09:53",57
"09:58",56
"10:03",55
"10:08",54
"10:13",53
"10:18",58
"10:24",58
"10:29",57
"10:34",60
"10:39",57
"10:44",58
"10:49",60
"10:54",58
"10:59",57
"11:04",59
"11:09",60
"11:14",58
"11:19",59
"11:24",60
"11:29",59
"11:34",61
"11:39",61
"11:44",63
"11:49",64
"11:54",62
"11:59",62
"12:04",65
"12:09",66
"12:14",65
"12:19",67
"12:24",66
"12:29",68
"12:34",69
"12:39",66
"12:44",70
"12:49",73
"12:54",74
"12:59",74
"13:04",78
"13:09",75
"13:14",78
"13:19",79
"13:24",82
"13:29",77
"13:34",77
"13:40",83
"13:45",88
"13:50",90
"13:55",95
"14:00",98
"14:05",99
"14:10",104
"14:15",104
"14:20",101
"14:25",102
"14:30",109
"14:35",110
"14:40",108
"14:45",113
"14:50",117
"14:55",115
"15:00",115
"15:06",113
"15:11",118
"15:16",126
"15:21",134
"15:26",149
"15:31",160
"15:36",169
"15:41",171
"15:46",174
"15:51",178
"15:56",179
"16:01",181
"16:06",189
"16:11",194
"16:16",194
"16:21",195
"16:26",189
"16:31",180
"16:36",176
"16:41",177
"16:46",187
"16:51",197
"16:56",203
"17:01",203
"17:06",205
"17:11",206
"17:16",204
"17:21",202
"17:26",203
"17:31",202
"17:36",202
"17:41",209
"17:46",215
"17:51",230
"17:56",241
"18:02",248
"18:07",244
"18:12",236
"18:17",227
"18:22",223
"18:27",215
"18:32",212
"18:37",212
"18:42",208
"18:47",210
"18:52",207
"18:57",207
"19:02",206
"19:07",191
"19:12",169
"19:17",153
"19:22",146
"19:27",143
"19:32",141
"19:37",138
"19:42",136
"19:47",132
"19:52",132
"19:57",128
"20:02",114
"20:07",112
"20:12",108
"20:17",103
"20:22",99
"20:27",92
"20:32",89
"20:37",81
"20:42",79
"20:47",73
"20:52",72
"20:57",63
"21:02",64
"21:07",60
"21:13",57
"21:18",56
"21:23",59
"21:28",57
"21:33",53
"21:38",51
"21:43",52
"21:48",50
"21:53",52
"21:58",52
"22:03",54
"22:08",54
"22:13",52
"22:18",50
"22:23",51
"22:28",46
"22:33",45
"22:38",42
"22:43",42
"22:48",38
"22:53",36
"22:58",35
"23:03",31
"23:08",29
"23:13",25
"23:18",24
"23:23",24
"23:28",24
"23:33",24
"23:38",22
"23:43",22
"23:48",22
"23:53",20
"23:58",20
