date,count
"00:01",3
"00:06",3
"00:11",3
"00:16",3
"00:21",3
"00:26",3
"00:31",3
"00:36",3
"00:41",3
"00:46",3
"00:51",3
"00:56",3
"01:01",3
"01:06",3
"01:12",3
"01:17",4
"01:22",4
"01:27",4
"01:32",5
"01:37",5
"01:42",5
"01:47",5
"01:52",7
"01:57",7
"02:02",7
"02:07",8
"02:12",8
"02:17",8
"02:22",10
"02:27",10
"02:32",12
"02:37",12
"02:42",12
"02:47",13
"02:52",13
"02:57",14
"03:02",14
"03:07",17
"03:12",18
"03:17",18
"03:22",21
"03:27",22
"03:32",27
"03:37",26
"03:42",27
"03:47",28
"03:52",30
"03:57",32
"04:02",31
"04:07",33
"04:12",39
"04:17",40
"04:22",43
"04:27",46
"04:32",48
"04:37",52
"04:42",54
"04:47",55
"04:52",56
"04:57",64
"05:02",63
"05:07",66
"05:12",67
"05:18",68
"05:23",72
"05:28",70
"05:33",74
"05:38",81
"05:43",80
"05:48",77
"05:53",75
"05:58",74
"06:03",71
"06:08",59
"06:13",56
"06:18",57
"06:23",55
"06:28",51
"06:33",47
"06:38",46
"06:43",46
"06:48",47
"06:53",47
"06:58",46
"07:03",44
"07:08",38
"07:13",38
"07:18",39
"07:23",40
"07:28",40
"07:33",44
"07:38",44
"07:43",46
"07:48",46
"07:53",47
"07:58",49
"08:03",50
"08:08",48
"08:13",45
"08:18",43
"08:23",41
"08:28",39
"08:33",36
"08:38",40
"08:43",39
"08:49",41
"08:54",39
"08:59",43
"09:04",39
"09:09",42
"09:14",42
"09:19",41
"09:24",44
"09:29",45
"09:34",49
"09:39",51
"09:44",53
"09:49",54
"09:54",61
"09:59",63
"10:04",65
"10:09",63
"10:14",66
"10:19",67
"10:24",67
"10:29",70
"10:34",75
"10:39",77
"10:44",81
"10:49",79
"10:54",75
"10:59",76
"11:04",71
"11:09",67
"11:14",63
"11:19",62
"11:24",65
"11:29",64
"11:34",64
"11:39",64
"11:44",62
"11:49",60
"11:54",61
"11:59",61
"12:05",57
"12:10",57
"12:15",54
"12:20",54
"12:25",56
"12:30",60
"12:35",61
"12:40",59
"12:45",62
"12:50",64
"12:55",64
"13:00",65
"13:05",67
"13:10",70
"13:15",76
"13:20",76
"13:25",78
"13:30",77
"13:35",82
"13:40",84
"13:45",85
"13:50",89
"13:55",89
"14:00",87
"14:05",88
"14:10",88
"14:15",91
"14:20",94
"14:25",98
"14:30",101
"14:35",105
"14:40",104
"14:45",106
"14:50",114
"14:55",122
"15:00",120
"15:05",123
"15:10",127
"15:15",130
"15:21",135
"15:26",140
"15:31",147
"15:36",158
"15:41",169
"15:46",178
"15:51",180
"15:56",177
"16:01",185
"16:06",189
"16:11",192
"16:16",194
"16:21",191
"16:26",196
"16:31",206
"16:36",204
"16:41",200
"16:46",195
"16:51",193
"16:56",183
"17:01",182
"17:06",186
"17:11",184
"17:16",187
"17:21",196
"17:26",190
"17:31",183
"17:36",179
"17:41",182
"17:46",180
"17:51",175
"17:56",173
"18:01",176
"18:06",174
"18:11",169
"18:16",172
"18:21",171
"18:27",179
"18:32",182
"18:37",174
"18:42",174
"18:47",163
"18:52",163
"18:57",161
"19:02",159
"19:07",154
"19:12",151
"19:17",149
"19:22",150
"19:27",144
"19:32",137
"19:37",140
"19:42",141
"19:47",144
"19:52",135
"19:57",130
"20:02",129
"20:07",129
"20:12",126
"20:17",123
"20:22",110
"20:27",105
"20:32",102
"20:37",98
"20:42",95
"20:47",89
"20:52",84
"20:57",78
"21:02",76
"21:07",69
"21:12",59
"21:17",55
"21:22",51
"21:27",51
"21:32",47
"21:37",45
"21:42",44
"21:47",44
"21:53",40
"21:58",35
"22:03",32
"22:08",29
"22:13",28
"22:18",25
"22:23",25
"22:28",19
"22:33",19
"22:38",19
"22:43",18
"22:48",16
"22:53",13
"22:58",12
"23:03",12
"23:08",12
"23:13",12
"23:18",11
"23:23",11
"23:28",11
"23:33",11
"23:38",11
"23:43",11
"23:48",12
"23:53",11
"23:58",9
